
Exp 1
2019-11-01 02:13:29.143382
55 | Test | rrse: 0.0330 | corr: 0.9270 | approx epoch time: 0.95s
61 | Test | rrse: 0.0340 | corr: 0.9288 | approx epoch time: 0.92s
62 | Test | rrse: 0.0328 | corr: 0.9287 | approx epoch time: 1.01s
64 | Test | rrse: 0.0328 | corr: 0.9292 | approx epoch time: 0.95s
73 | Test | rrse: 0.0344 | corr: 0.9307 | approx epoch time: 0.96s
74 | Test | rrse: 0.0328 | corr: 0.9304 | approx epoch time: 0.89s
76 | Test | rrse: 0.0319 | corr: 0.9303 | approx epoch time: 1.03s
77 | Test | rrse: 0.0319 | corr: 0.9306 | approx epoch time: 0.89s
78 | Test | rrse: 0.0308 | corr: 0.9308 | approx epoch time: 0.91s
79 | Test | rrse: 0.0307 | corr: 0.9309 | approx epoch time: 0.98s
83 | Test | rrse: 0.0313 | corr: 0.9318 | approx epoch time: 1.06s
85 | Test | rrse: 0.0313 | corr: 0.9322 | approx epoch time: 0.91s
86 | Test | rrse: 0.0308 | corr: 0.9324 | approx epoch time: 0.99s
88 | Test | rrse: 0.0301 | corr: 0.9326 | approx epoch time: 0.98s
93 | Test | rrse: 0.0312 | corr: 0.9340 | approx epoch time: 1.01s
94 | Test | rrse: 0.0309 | corr: 0.9341 | approx epoch time: 1.01s
97 | Test | rrse: 0.0307 | corr: 0.9345 | approx epoch time: 0.96s
99 | Test | rrse: 0.0304 | corr: 0.9347 | approx epoch time: 1.04s
102 | Test | rrse: 0.0304 | corr: 0.9352 | approx epoch time: 0.96s
109 | Test | rrse: 0.0307 | corr: 0.9366 | approx epoch time: 0.93s
113 | Test | rrse: 0.0307 | corr: 0.9374 | approx epoch time: 0.95s
117 | Test | rrse: 0.0303 | corr: 0.9381 | approx epoch time: 0.94s
118 | Test | rrse: 0.0299 | corr: 0.9381 | approx epoch time: 0.91s
121 | Test | rrse: 0.0295 | corr: 0.9383 | approx epoch time: 0.96s
125 | Test | rrse: 0.0301 | corr: 0.9388 | approx epoch time: 0.90s
128 | Test | rrse: 0.0297 | corr: 0.9392 | approx epoch time: 0.90s
129 | Test | rrse: 0.0297 | corr: 0.9393 | approx epoch time: 0.94s
131 | Test | rrse: 0.0293 | corr: 0.9401 | approx epoch time: 0.99s
132 | Test | rrse: 0.0290 | corr: 0.9406 | approx epoch time: 1.00s
139 | Test | rrse: 0.0295 | corr: 0.9415 | approx epoch time: 0.84s
144 | Test | rrse: 0.0293 | corr: 0.9421 | approx epoch time: 0.99s
145 | Test | rrse: 0.0291 | corr: 0.9424 | approx epoch time: 0.98s
147 | Test | rrse: 0.0290 | corr: 0.9426 | approx epoch time: 1.01s
151 | Test | rrse: 0.0293 | corr: 0.9426 | approx epoch time: 0.91s
153 | Test | rrse: 0.0290 | corr: 0.9433 | approx epoch time: 1.03s
157 | Test | rrse: 0.0291 | corr: 0.9439 | approx epoch time: 0.83s
160 | Test | rrse: 0.0289 | corr: 0.9446 | approx epoch time: 0.89s
162 | Test | rrse: 0.0284 | corr: 0.9451 | approx epoch time: 1.07s
164 | Test | rrse: 0.0287 | corr: 0.9456 | approx epoch time: 0.96s
168 | Test | rrse: 0.0287 | corr: 0.9461 | approx epoch time: 1.04s
170 | Test | rrse: 0.0288 | corr: 0.9466 | approx epoch time: 1.08s
173 | Test | rrse: 0.0288 | corr: 0.9471 | approx epoch time: 0.89s
174 | Test | rrse: 0.0289 | corr: 0.9473 | approx epoch time: 0.98s
176 | Test | rrse: 0.0288 | corr: 0.9483 | approx epoch time: 1.13s
177 | Test | rrse: 0.0281 | corr: 0.9484 | approx epoch time: 0.96s
178 | Test | rrse: 0.0281 | corr: 0.9486 | approx epoch time: 0.92s
180 | Test | rrse: 0.0281 | corr: 0.9489 | approx epoch time: 0.96s
182 | Test | rrse: 0.0281 | corr: 0.9496 | approx epoch time: 0.95s
